Dimensions,Activation,Total Memory Size (MB),NAU Loss @ 25epoch,Baseline Loss @ 25epoch,Loss Diff (NAU-Baseline) @ 25epoch,NAU Loss @ 50epoch,Baseline Loss @ 50epoch,Loss Diff (NAU-Baseline) @ 50epoch,NAU Loss @ 75epoch,Baseline Loss @ 75epoch,Loss Diff (NAU-Baseline) @ 75epoch,NAU Loss @ 100epoch,Baseline Loss @ 100epoch,Loss Diff (NAU-Baseline) @ 100epoch,NAU Loss @ 500epoch,Baseline Loss @ 500epoch,Loss Diff (NAU-Baseline) @ 500epoch,NAU Loss @ 1000epoch,Baseline Loss @ 1000epoch,Loss Diff (NAU-Baseline) @ 1000epoch,NAU Training Time @ 1000epoch (sec),Baseline Training Time @ 1000epoch (sec)
2->512->32->32->1,LeakyReLU,0.338844,0.14539209008216858,0.1974835991859436,-0.052091509103775024,0.13439138233661652,0.13059979677200317,0.0037915855646133423,0.1109275370836258,0.10197832435369492,0.008949212729930878,0.10416840016841888,0.089668408036232,0.01449999213218689,0.05188203230500221,0.06753228604793549,-0.015650253742933273,0.02626768872141838,0.03032049909234047,-0.004052810370922089,57.286945104599,28.694683074951172
2->512->64->64->1,LeakyReLU,0.417564,0.1970929652452469,0.3099555969238281,-0.11286263167858124,0.1701008826494217,0.21547991037368774,-0.04537902772426605,0.15832741558551788,0.141585111618042,0.01674230396747589,0.14498840272426605,0.1056562215089798,0.039332181215286255,0.07105928659439087,0.05485185235738754,0.016207434237003326,0.03736598417162895,0.02447609230875969,0.012889891862869263,74.09988379478455,31.531617164611816
2->512->128->128->1,LeakyReLU,0.59958,0.19101685285568237,0.19053590297698975,0.00048094987869262695,0.16596342623233795,0.1414613127708435,0.024502113461494446,0.15920698642730713,0.1133299320936203,0.04587705433368683,0.1491532027721405,0.09693732112646103,0.052215881645679474,0.07898809015750885,0.06977381557226181,0.00921427458524704,0.050976019352674484,0.026677124202251434,0.02429889515042305,105.9918704032898,38.24185514450073
2->512->256->256->1,LeakyReLU,1.061916,0.2215818464756012,0.2976584732532501,-0.07607662677764893,0.18614551424980164,0.20395880937576294,-0.017813295125961304,0.1886909455060959,0.14116795361042023,0.04752299189567566,0.15265603363513947,0.10574539005756378,0.046910643577575684,0.07933779805898666,0.0719912052154541,0.007346592843532562,0.04089082404971123,0.029604710638523102,0.011286113411188126,196.3419008255005,52.86419606208801
2->512->512->512->1,LeakyReLU,2.379804,0.20549309253692627,0.30622556805610657,-0.1007324755191803,0.17087087035179138,0.21965931355953217,-0.048788443207740784,0.16350331902503967,0.14293447136878967,0.02056884765625,0.1375415027141571,0.11333107948303223,0.024210423231124878,0.08748742938041687,0.06986211240291595,0.017625316977500916,0.0316864438354969,0.027457941323518753,0.004228502511978149,424.6795451641083,86.00182294845581
2->512->1024->1024->1,LeakyReLU,6.588444,0.12100213766098022,0.25098782777786255,-0.12998569011688232,0.11371315270662308,0.16956061124801636,-0.05584745854139328,0.10390611737966537,0.1210530549287796,-0.017146937549114227,0.10219121724367142,0.09892264753580093,0.0032685697078704834,0.06198805943131447,0.07345882803201675,-0.011470768600702286,0.027924615889787674,0.03116321563720703,-0.0032385997474193573,1400.3404648303986,218.80288672447205
2->512->2->2->1,RandReLU,0.272484,0.31284400820732117,0.4084852933883667,-0.09564128518104553,0.3006979525089264,0.39734068512916565,-0.09664273262023926,0.28953176736831665,0.38370758295059204,-0.09417581558227539,0.29071739315986633,0.3671473264694214,-0.07642993330955505,0.11906013637781143,0.11362885683774948,0.005431279540061951,0.11108839511871338,0.11263391375541687,-0.0015455186367034912,45.29920291900635,27.472727060317993
2->512->4->4->1,RandReLU,0.276684,0.18537870049476624,0.23846673965454102,-0.05308803915977478,0.1151924580335617,0.10407734662294388,0.011115111410617828,0.08762550354003906,0.0864291787147522,0.0011963248252868652,0.08435176312923431,0.08442166447639465,-6.990134716033936e-05,0.08292422443628311,0.07987693697214127,0.0030472874641418457,0.07284185290336609,0.06415944546461105,0.008682407438755035,46.19018912315369,27.386525869369507
2->512->8->8->1,RandReLU,0.28518,0.1401715874671936,0.11660748720169067,0.02356410026550293,0.09207338839769363,0.09645578265190125,-0.004382394254207611,0.09105463325977325,0.09092681109905243,0.0001278221607208252,0.08304975926876068,0.0878109335899353,-0.004761174321174622,0.0766441822052002,0.07872800529003143,-0.002083823084831238,0.05020800232887268,0.05657872557640076,-0.006370723247528076,49.020386695861816,28.53140878677368
2->512->16->16->1,RandReLU,0.302556,0.16441303491592407,0.23598220944404602,-0.07156917452812195,0.10520431399345398,0.12165062129497528,-0.0164463073015213,0.10658813267946243,0.09207300841808319,0.014515124261379242,0.09954150766134262,0.0860346108675003,0.013506896793842316,0.052928660064935684,0.07274282723665237,-0.01981416717171669,0.027176659554243088,0.046927209943532944,-0.019750550389289856,57.34615993499756,28.593722105026245
2->512->32->32->1,RandReLU,0.338844,0.19849789142608643,0.11932622641324997,0.07917166501283646,0.1523817628622055,0.09435515105724335,0.05802661180496216,0.147433340549469,0.08707670867443085,0.06035663187503815,0.13044045865535736,0.08424553275108337,0.04619492590427399,0.07308025658130646,0.07189209759235382,0.0011881589889526367,0.03565840795636177,0.03363977372646332,0.0020186342298984528,64.2085108757019,31.895992040634155
2->512->64->64->1,RandReLU,0.417564,0.1742928922176361,0.18878944218158722,-0.01449654996395111,0.16196666657924652,0.12387597560882568,0.03809069097042084,0.15163199603557587,0.09869152307510376,0.05294047296047211,0.15142005681991577,0.08863265812397003,0.06278739869594574,0.0683135837316513,0.0722690001130104,-0.0039554163813591,0.03650318831205368,0.03462161496281624,0.001881573349237442,77.60928893089294,35.75609493255615
2->512->128->128->1,RandReLU,0.59958,0.20392906665802002,0.16318659484386444,0.04074247181415558,0.14447301626205444,0.10812661051750183,0.03634640574455261,0.13560675084590912,0.09203515946865082,0.0435715913772583,0.13344624638557434,0.08521655946969986,0.04822968691587448,0.06728186458349228,0.0722324550151825,-0.004950590431690216,0.03252052515745163,0.03221026062965393,0.000310264527797699,111.60122108459473,44.84520602226257
2->512->256->256->1,RandReLU,1.061916,0.15993329882621765,0.2098599076271057,-0.04992660880088806,0.15487222373485565,0.12672728300094604,0.028144940733909607,0.14416347444057465,0.09783332049846649,0.046330153942108154,0.13101039826869965,0.08795645087957382,0.043053947389125824,0.07961948215961456,0.07437857240438461,0.00524090975522995,0.04048475623130798,0.035520199686288834,0.00496455654501915,224.8920919895172,64.08800077438354
2->512->512->512->1,RandReLU,2.379804,0.15694861114025116,0.24975049495697021,-0.09280188381671906,0.13570624589920044,0.13957911729812622,-0.0038728713989257812,0.11567021906375885,0.09923380613327026,0.016436412930488586,0.11647553741931915,0.08869000524282455,0.0277855321764946,0.08648552000522614,0.07460916042327881,0.011876359581947327,0.036457426846027374,0.03524459898471832,0.0012128278613090515,458.98164987564087,111.55863332748413
2->512->1024->1024->1,RandReLU,6.588444,0.1331767588853836,0.20173990726470947,-0.06856314837932587,0.10889318585395813,0.11717808246612549,-0.008284896612167358,0.09965845197439194,0.09185075014829636,0.007807701826095581,0.10489203035831451,0.08714113384485245,0.017750896513462067,0.06925497204065323,0.07535064220428467,-0.006095670163631439,0.03775331750512123,0.03468211367726326,0.003071203827857971,1479.2615070343018,269.087504863739
2->512->2->2->1,SELU,0.272484,0.11164837330579758,0.09294919669628143,0.018699176609516144,0.09861182421445847,0.08426127582788467,0.014350548386573792,0.08880148828029633,0.08529902994632721,0.003502458333969116,0.09541371464729309,0.08413930237293243,0.011274412274360657,0.06591780483722687,0.08380486816167831,-0.017887063324451447,0.07081770151853561,0.08189751207828522,-0.011079810559749603,44.82310509681702,26.317564010620117
2->512->4->4->1,SELU,0.276684,0.1480589210987091,0.36755600571632385,-0.21949708461761475,0.08731415122747421,0.14629043638706207,-0.05897628515958786,0.09362994879484177,0.0999443382024765,-0.006314389407634735,0.09580065310001373,0.08760581165552139,0.00819484144449234,0.07417187839746475,0.07001680880784988,0.004155069589614868,0.040165871381759644,0.06117431819438934,-0.0210084468126297,46.122309923172,27.12883186340332
2->512->8->8->1,SELU,0.28518,0.16852116584777832,0.11004680395126343,0.05847436189651489,0.1158747524023056,0.08530908823013306,0.030565664172172546,0.11478729546070099,0.08527198433876038,0.029515311121940613,0.10750944912433624,0.08374161273241043,0.023767836391925812,0.058712784200906754,0.0632658526301384,-0.004553068429231644,0.03598332405090332,0.0455145463347435,-0.00953122228384018,47.83151412010193,27.109466075897217
2->512->16->16->1,SELU,0.302556,0.2552674412727356,0.10737474262714386,0.14789269864559174,0.20684683322906494,0.08762901276350021,0.11921782046556473,0.19908380508422852,0.0836649090051651,0.11541889607906342,0.17144352197647095,0.08340366184711456,0.08803986012935638,0.09002181887626648,0.07132212072610855,0.01869969815015793,0.0639597475528717,0.04783032089471817,0.016129426658153534,49.92309498786926,27.414788246154785
2->512->32->32->1,SELU,0.338844,0.36935245990753174,0.09013252705335617,0.27921993285417557,0.2549944519996643,0.08460451662540436,0.17038993537425995,0.23060140013694763,0.08379754424095154,0.1468038558959961,0.21923552453517914,0.08343454450368881,0.13580098003149033,0.1199803501367569,0.07555104792118073,0.04442930221557617,0.08153189718723297,0.0542885847389698,0.02724331244826317,57.109894037246704,28.71512770652771
