Dimensions,Activation,Total Memory Size (MB),Final NAU Loss,Final Baseline Loss,Final NAU Reg Loss,NAU-Baseline,NAU Training Time (sec),Baseline Training Time (sec)
2->512->1024->1,ELU,2.381852,0.023425277322530746,0.02854830212891102,0.022981813177466393,-0.005123024806380272,442.82737469673157,334.963947057724
2->512->4->1,Tanh,0.276572,0.028445489704608917,0.03552521392703056,0.03513805568218231,-0.007079724222421646,123.27003216743469,113.91589903831482
2->512->8->1,Tanh,0.284828,0.026379428803920746,0.026631159707903862,0.020376266911625862,-0.00025173090398311615,122.88517999649048,115.75303292274475
2->512->16->1,Tanh,0.30134,0.02204175852239132,0.02080582082271576,0.019092435017228127,0.00123593769967556,108.50924396514893,116.92892599105835
2->512->32->1,Tanh,0.334364,0.02467157691717148,0.02636040560901165,0.02199777401983738,-0.0016888286918401718,112.4086582660675,111.37221908569336
2->512->64->1,Tanh,0.400412,0.02079191245138645,0.03930770233273506,0.01862187683582306,-0.01851578988134861,122.684415102005,115.23507022857666
2->512->128->1,Tanh,0.532508,0.02524087019264698,0.046339672058820724,0.02395797334611416,-0.021098801866173744,142.3930802345276,128.78790092468262
2->512->256->1,Tanh,0.7967,0.023240406066179276,0.06047235429286957,0.025319550186395645,-0.03723194822669029,185.77826595306396,159.97015190124512
2->512->512->1,Tanh,1.325084,0.032950885593891144,0.06507816910743713,0.028511490672826767,-0.03212728351354599,270.1888689994812,225.700279712677
2->512->1024->1,Tanh,2.381852,0.03734214976429939,0.07011925429105759,0.03742964193224907,-0.032777104526758194,473.53677797317505,355.1364212036133
2->512->4->1,ReLU6,0.276572,0.014750540256500244,0.04435821622610092,0.17349565029144287,-0.029607675969600677,174.69255590438843,150.4566671848297
2->512->8->1,ReLU6,0.284828,0.013183526694774628,0.03274993970990181,0.02292449213564396,-0.019566413015127182,136.61720609664917,132.90709900856018
2->512->16->1,ReLU6,0.30134,0.017846176400780678,0.03171341121196747,0.019517598673701286,-0.01386723481118679,190.71734881401062,190.7564058303833
2->512->32->1,ReLU6,0.334364,0.01623510755598545,0.02631058543920517,0.01731793023645878,-0.010075477883219719,118.76944494247437,113.19021916389465
2->512->64->1,ReLU6,0.400412,0.02682662382721901,0.02532193809747696,0.02680615335702896,0.0015046857297420502,128.5890622138977,121.54665303230286
2->512->128->1,ReLU6,0.532508,0.02872125431895256,0.029237084090709686,0.027861038222908974,-0.0005158297717571259,143.62207007408142,134.481595993042
2->512->256->1,ReLU6,0.7967,0.029040370136499405,0.03143167495727539,0.024519911035895348,-0.0023913048207759857,306.9197299480438,245.9013638496399
2->512->512->1,ReLU6,1.325084,0.02554330974817276,0.03381216898560524,0.029206648468971252,-0.00826885923743248,347.8882019519806,338.0442638397217
2->512->1024->1,ReLU6,2.381852,0.026408594101667404,0.03308119997382164,0.027167264372110367,-0.006672605872154236,433.8123197555542,336.32891297340393
2->512->4->1,LeakyReLU,0.276572,0.0839785635471344,0.07418840378522873,0.04943908005952835,0.00979015976190567,102.87250471115112,97.65335083007812
2->512->8->1,LeakyReLU,0.284828,0.0228370763361454,0.020981833338737488,0.017724530771374702,0.0018552429974079132,106.42148423194885,101.11792516708374
2->512->16->1,LeakyReLU,0.30134,0.014422369189560413,0.021423231810331345,0.015709083527326584,-0.007000862620770931,109.7990939617157,103.04226016998291
2->512->32->1,LeakyReLU,0.334364,0.01623385027050972,0.013596266508102417,0.01619938760995865,0.002637583762407303,105.60305905342102,103.92621994018555
2->512->64->1,LeakyReLU,0.400412,0.019050447270274162,0.013945041224360466,0.017711257562041283,0.005105406045913696,107.98815321922302,100.04729104042053
2->512->128->1,LeakyReLU,0.532508,0.020190434530377388,0.015145082958042622,0.01866988092660904,0.005045351572334766,129.47424983978271,113.59004998207092
2->512->256->1,LeakyReLU,0.7967,0.016979660838842392,0.01465584896504879,0.018240515142679214,0.002323811873793602,166.51406621932983,143.97028589248657
2->512->512->1,LeakyReLU,1.325084,0.014862710610032082,0.012972839176654816,0.01857500523328781,0.001889871433377266,243.080726146698,198.80622506141663
2->512->1024->1,LeakyReLU,2.381852,0.013449531979858875,0.012601026333868504,0.017216213047504425,0.0008485056459903717,417.3983700275421,321.0063810348511
2->512->4->1,RandReLU,0.276572,0.028013449162244797,0.06836380064487457,0.04094039276242256,-0.040350351482629776,167.5761969089508,151.87155771255493
2->512->8->1,RandReLU,0.284828,0.022588178515434265,0.027463072910904884,0.02519048936665058,-0.004874894395470619,171.0538821220398,153.03760409355164
2->512->16->1,RandReLU,0.30134,0.02399943396449089,0.021772973239421844,0.02228730544447899,0.002226460725069046,151.01892471313477,150.7576868534088
2->512->32->1,RandReLU,0.334364,0.02438477985560894,0.021864604204893112,0.0254147220402956,0.002520175650715828,156.1156289577484,137.54529309272766
2->512->64->1,RandReLU,0.400412,0.024370716884732246,0.01798964850604534,0.02440526895225048,0.006381068378686905,170.89190983772278,163.7231960296631
2->512->128->1,RandReLU,0.532508,0.023419063538312912,0.018478214740753174,0.02390338107943535,0.004940848797559738,198.73943495750427,171.3124659061432
2->512->256->1,RandReLU,0.7967,0.022627301514148712,0.01557858381420374,0.018472790718078613,0.007048717699944973,254.3239061832428,212.83303594589233
2->512->512->1,RandReLU,1.325084,0.02067163959145546,0.014359710738062859,0.021431606262922287,0.006311928853392601,373.5212380886078,296.68687415122986
2->512->1024->1,RandReLU,2.381852,0.017336485907435417,0.01584196463227272,0.016450010240077972,0.0014945212751626968,611.1183760166168,464.56080412864685
2->512->4->1,SELU,0.276572,0.0440305732190609,0.05928308516740799,0.054380036890506744,-0.015252511948347092,114.805184841156,104.70787501335144
2->512->8->1,SELU,0.284828,0.0482209175825119,0.04517953097820282,0.04989590868353844,0.003041386604309082,118.41118288040161,108.99472117424011
2->512->16->1,SELU,0.30134,0.04057695344090462,0.03442290797829628,0.05391526222229004,0.006154045462608337,118.95250701904297,111.7433009147644
2->512->32->1,SELU,0.334364,0.046231016516685486,0.03784061595797539,0.041976332664489746,0.008390400558710098,121.20631694793701,115.57344794273376
2->512->64->1,SELU,0.400412,0.04794229567050934,0.037141602486371994,0.04658640921115875,0.010800693184137344,128.55962085723877,113.6104850769043
2->512->128->1,SELU,0.532508,0.046695757657289505,0.042058154940605164,0.05488129332661629,0.004637602716684341,135.5482258796692,126.05106997489929
2->512->256->1,SELU,0.7967,0.050256695598363876,0.04792872816324234,0.0512891449034214,0.0023279674351215363,178.47453093528748,153.26219201087952
2->512->512->1,SELU,1.325084,0.04985008388757706,0.05313316732645035,0.05661461874842644,-0.003283083438873291,270.2952661514282,211.22484707832336
2->512->1024->1,SELU,2.381852,0.05473841726779938,0.04884246364235878,0.052228450775146484,0.0058959536254405975,446.17925786972046,346.0359618663788
2->512->4->1,CELU,0.276572,0.015366123989224434,0.02469555288553238,0.015397967770695686,-0.009329428896307945,114.83412313461304,108.56189799308777
2->512->8->1,CELU,0.284828,0.015224087052047253,0.021463625133037567,0.01782923750579357,-0.0062395380809903145,116.11303615570068,109.85601377487183
2->512->16->1,CELU,0.30134,0.02268795482814312,0.02288595400750637,0.01512021292001009,-0.00019799917936325073,122.30253505706787,114.49871683120728
2->512->32->1,CELU,0.334364,0.023731326684355736,0.017810143530368805,0.028675789013504982,0.005921183153986931,127.9555971622467,119.58554005622864
2->512->64->1,CELU,0.400412,0.025225477293133736,0.019411101937294006,0.02513374574482441,0.005814375355839729,122.66071605682373,110.4729368686676
2->512->128->1,CELU,0.532508,0.026789363473653793,0.022256406024098396,0.027977854013442993,0.004532957449555397,137.8861448764801,125.50202202796936
2->512->256->1,CELU,0.7967,0.02731231413781643,0.018629226833581924,0.029078422114253044,0.008683087304234505,181.97342896461487,159.25084900856018
2->512->512->1,CELU,1.325084,0.029216520488262177,0.023892231285572052,0.0288709606975317,0.0053242892026901245,252.56549096107483,217.5852620601654
2->512->1024->1,CELU,2.381852,0.030158814042806625,0.026349874213337898,0.02552834525704384,0.003808939829468727,440.94924998283386,333.5425691604614
2->512->4->1,Softplus,0.276572,0.05979771167039871,0.03130568563938141,0.3445355296134949,0.028492026031017303,127.16125297546387,119.37222504615784
2->512->8->1,Softplus,0.284828,0.01844782754778862,0.02775145135819912,0.022250652313232422,-0.0093036238104105,133.04241609573364,120.73511075973511
2->512->16->1,Softplus,0.30134,0.018606580793857574,0.052660565823316574,0.024785881862044334,-0.034053985029459,136.89115381240845,126.24068880081177
2->512->32->1,Softplus,0.334364,0.017828041687607765,0.029602225869894028,0.01804632879793644,-0.011774184182286263,140.81680607795715,131.41301798820496
2->512->64->1,Softplus,0.400412,0.023973263800144196,0.045641303062438965,0.021066244691610336,-0.02166803926229477,131.96424508094788,123.314706325531
2->512->128->1,Softplus,0.532508,0.017181212082505226,0.03905634209513664,0.02372775785624981,-0.021875130012631416,149.79522609710693,135.42020726203918
