Dimensions,Activation,Total Memory Size (MB),NAU Loss @ 25epoch,Baseline Loss @ 25epoch,Loss Diff (NAU-Baseline) @ 25epoch,NAU Loss @ 50epoch,Baseline Loss @ 50epoch,Loss Diff (NAU-Baseline) @ 50epoch,NAU Loss @ 75epoch,Baseline Loss @ 75epoch,Loss Diff (NAU-Baseline) @ 75epoch,NAU Loss @ 100epoch,Baseline Loss @ 100epoch,Loss Diff (NAU-Baseline) @ 100epoch,NAU Loss @ 500epoch,Baseline Loss @ 500epoch,Loss Diff (NAU-Baseline) @ 500epoch,NAU Training Time @ 1000epoch (sec),Baseline Training Time @ 1000epoch (sec)
2->512->2->1,ReLU6,0.272444,0.19214357435703278,0.3140382170677185,-0.12189464271068573,0.16266566514968872,0.3095569610595703,-0.1468912959098816,0.15323218703269958,0.31042593717575073,-0.15719375014305115,0.12548069655895233,0.31219151616096497,-0.18671081960201263,0.10470269620418549,0.30838698148727417,-0.20368428528308868,32.500022172927856,26.371288061141968
2->512->4->1,ReLU6,0.276572,0.2293628454208374,0.16211988031864166,0.06724296510219574,0.17650257050991058,0.10505595058202744,0.07144661992788315,0.14840076863765717,0.08889114111661911,0.059509627521038055,0.12767590582370758,0.0859374925494194,0.04173841327428818,0.0958326980471611,0.06288833171129227,0.032944366335868835,33.415563106536865,21.030212879180908
2->512->8->1,ReLU6,0.284828,0.15017040073871613,0.11031162738800049,0.03985877335071564,0.12119883298873901,0.08837185055017471,0.0328269824385643,0.12033123522996902,0.08643612265586853,0.033895112574100494,0.11166733503341675,0.08415158838033676,0.027515746653079987,0.04370870441198349,0.04874031990766525,-0.005031615495681763,34.67670702934265,21.65902280807495
2->512->16->1,ReLU6,0.30134,0.23720881342887878,0.2968580424785614,-0.05964922904968262,0.19106294214725494,0.2078540027141571,-0.01679106056690216,0.15741880238056183,0.1393766701221466,0.018042132258415222,0.15869250893592834,0.10639870166778564,0.0522938072681427,0.054933369159698486,0.04527859762310982,0.009654771536588669,42.46990084648132,22.464126110076904
2->512->32->1,ReLU6,0.334364,0.2545766532421112,0.3044883608818054,-0.049911707639694214,0.21909797191619873,0.2260119765996933,-0.006914004683494568,0.20369943976402283,0.13890178501605988,0.06479765474796295,0.21374979615211487,0.10243751108646393,0.11131228506565094,0.10453098267316818,0.05179267376661301,0.052738308906555176,54.16220211982727,25.190434217453003
2->512->64->1,ReLU6,0.400412,0.2875644266605377,0.16447865962982178,0.12308576703071594,0.26354652643203735,0.10188265144824982,0.16166387498378754,0.21334685385227203,0.0904846265912056,0.12286222726106644,0.2147020399570465,0.08774848282337189,0.12695355713367462,0.14448004961013794,0.0473061203956604,0.09717392921447754,51.34627318382263,24.632208108901978
2->512->128->1,ReLU6,0.532508,0.2613142728805542,0.10827580839395523,0.15303846448659897,0.283575177192688,0.0900987833738327,0.19347639381885529,0.25049570202827454,0.08972965180873871,0.16076605021953583,0.2397984266281128,0.08740950375795364,0.15238892287015915,0.1587478667497635,0.046921536326408386,0.1118263304233551,70.59966683387756,28.23194909095764
2->512->256->1,ReLU6,0.7967,0.2391051948070526,0.12692873179912567,0.11217646300792694,0.21303316950798035,0.09268180280923843,0.12035136669874191,0.20383818447589874,0.0878245159983635,0.11601366847753525,0.19911566376686096,0.08587084710597992,0.11324481666088104,0.14354844391345978,0.054180365055799484,0.0893680788576603,109.21653079986572,38.18616962432861
2->512->512->1,ReLU6,1.325084,0.28629270195961,0.3234942555427551,-0.03720155358314514,0.26457005739212036,0.27339306473731995,-0.008823007345199585,0.26338788866996765,0.19528570771217346,0.06810218095779419,0.2204320877790451,0.13327057659626007,0.08716151118278503,0.16359998285770416,0.060059476643800735,0.10354050621390343,201.9412431716919,50.16984701156616
2->512->1024->1,ReLU6,2.381852,0.21990005671977997,0.12501496076583862,0.09488509595394135,0.19562920928001404,0.0931529700756073,0.10247623920440674,0.20403330028057098,0.08636138588190079,0.1176719143986702,0.16972370445728302,0.08553631603717804,0.08418738842010498,0.09718544781208038,0.06296484917402267,0.03422059863805771,370.312518119812,78.90445065498352
2->512->2->1,LeakyReLU,0.272444,0.2141018807888031,0.12408989667892456,0.09001198410987854,0.17795391380786896,0.09269750863313675,0.08525640517473221,0.15465104579925537,0.08760703355073929,0.06704401224851608,0.1300828456878662,0.08555799722671509,0.04452484846115112,0.10358210653066635,0.06251385062932968,0.04106825590133667,31.910812854766846,20.393402099609375
